case,variant,dataset_id,association_rows,clean_association_rows,rgb_depth_bad_rows,gt_bad_rows,max_rgb_depth_diff,max_gt_diff,rgb_depth_threshold,gt_threshold,estimate_poses,filtered_estimate_poses,matched_poses,coverage,ate_se3_rmse_m,ate_sim3_rmse_m,sim3_scale,rpet_rmse_m,rper_rmse_deg,run_dir,estimate
wrpy_raw,current,external_wrpy_rawrgb_rawdepth_mask,,,,,,,,,,,906,0.2958850424559112,0.9970570564815908,0.15795060583918957,0.08493938477823525,0.026161384116877143,0.6262470341786287,/home/lj/dynamic-slam-public/runs/external_wrpy_d2ma_min_20260513_170248/raw_baseline,/home/lj/dynamic-slam-public/runs/external_wrpy_d2ma_min_20260513_170248/raw_baseline/CameraTrajectory.txt
wrpy_raw,strict_003,external_wrpy_rawrgb_rawdepth_mask,909,884,23,2,0.03596806526184082,0.0989069938659668,0.03,0.03,909,884,884,0.28870019595035923,0.9940919501124224,0.15823681157063804,0.08515887531089726,0.026851948651672817,0.640170459739458,/home/lj/dynamic-slam-public/runs/external_wrpy_d2ma_min_20260513_170248/raw_baseline,/home/lj/dynamic-slam-public/runs/association_clean_sensitivity_20260514/wrpy_raw/strict_003/CameraTrajectory.filtered.txt
wrpy_raw,loose_005,external_wrpy_rawrgb_rawdepth_mask,909,907,0,2,0.03596806526184082,0.0989069938659668,0.05,0.05,909,907,906,0.2958850424559112,0.9970570564815908,0.15795060583918957,0.08493938477823525,0.026161384116877143,0.6262470341786287,/home/lj/dynamic-slam-public/runs/external_wrpy_d2ma_min_20260513_170248/raw_baseline,/home/lj/dynamic-slam-public/runs/association_clean_sensitivity_20260514/wrpy_raw/loose_005/CameraTrajectory.filtered.txt
wrpy_d2ma_b_r5,current,external_wrpy_rawrgb_rawdepth_mask,,,,,,,,,,,906,0.2958850424559112,0.2699994375074346,0.12072192570782232,0.361678485496571,0.0261731926584138,0.6060053888883153,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wrpy_d2ma_b_r5/r1,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wrpy_d2ma_b_r5/r1/CameraTrajectory.txt
wrpy_d2ma_b_r5,strict_003,external_wrpy_rawrgb_rawdepth_mask,909,884,23,2,0.03596806526184082,0.0989069938659668,0.03,0.03,909,884,884,0.28870019595035923,0.26932506731081396,0.12083158414592161,0.36281911081931445,0.02667317645580315,0.6159903131184663,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wrpy_d2ma_b_r5/r1,/home/lj/dynamic-slam-public/runs/association_clean_sensitivity_20260514/wrpy_d2ma_b_r5/strict_003/CameraTrajectory.filtered.txt
wrpy_d2ma_b_r5,loose_005,external_wrpy_rawrgb_rawdepth_mask,909,907,0,2,0.03596806526184082,0.0989069938659668,0.05,0.05,909,907,906,0.2958850424559112,0.2699994375074346,0.12072192570782232,0.361678485496571,0.0261731926584138,0.6060053888883153,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/wrpy_d2ma_b_r5/r1,/home/lj/dynamic-slam-public/runs/association_clean_sensitivity_20260514/wrpy_d2ma_b_r5/loose_005/CameraTrajectory.filtered.txt
halfsphere_raw,current,external_whalfsphere_rawrgb_rawdepth_mask,,,,,,,,,,,1064,0.29704075935231716,0.5064386497158724,0.2909794784452067,0.48440446593898756,0.019395705105377463,0.5227659945891182,/home/lj/dynamic-slam-public/runs/canonical_sidechannel_six_20260513_233737/whalfsphere_raw,/home/lj/dynamic-slam-public/runs/canonical_sidechannel_six_20260513_233737/whalfsphere_raw/CameraTrajectory.txt
halfsphere_raw,strict_003,external_whalfsphere_rawrgb_rawdepth_mask,1067,1038,26,3,0.03253316879272461,0.11671590805053711,0.03,0.03,1067,1038,1038,0.2897822445561139,0.5071906257575026,0.2915148931013123,0.4844122466043215,0.01972484301629539,0.5276019574319857,/home/lj/dynamic-slam-public/runs/canonical_sidechannel_six_20260513_233737/whalfsphere_raw,/home/lj/dynamic-slam-public/runs/association_clean_sensitivity_20260514/halfsphere_raw/strict_003/CameraTrajectory.filtered.txt
halfsphere_raw,loose_005,external_whalfsphere_rawrgb_rawdepth_mask,1067,1065,0,2,0.03253316879272461,0.11671590805053711,0.05,0.05,1067,1065,1064,0.29704075935231716,0.5064386497158724,0.2909794784452067,0.48440446593898756,0.019395705105377463,0.5227659945891182,/home/lj/dynamic-slam-public/runs/canonical_sidechannel_six_20260513_233737/whalfsphere_raw,/home/lj/dynamic-slam-public/runs/association_clean_sensitivity_20260514/halfsphere_raw/loose_005/CameraTrajectory.filtered.txt
halfsphere_d2ma_b_r5,current,external_whalfsphere_rawrgb_rawdepth_mask,,,,,,,,,,,1064,0.29704075935231716,0.15609311235748924,0.11884398598286396,0.823257551203868,0.016220400138605894,0.48440217992782175,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/whalfsphere_d2ma_b_r5/r1,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/whalfsphere_d2ma_b_r5/r1/CameraTrajectory.txt
halfsphere_d2ma_b_r5,strict_003,external_whalfsphere_rawrgb_rawdepth_mask,1067,1038,26,3,0.03253316879272461,0.11671590805053711,0.03,0.03,1067,1038,1038,0.2897822445561139,0.1554204721269266,0.11869789814901302,0.8247516092735767,0.016456779599371568,0.4880281493548052,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/whalfsphere_d2ma_b_r5/r1,/home/lj/dynamic-slam-public/runs/association_clean_sensitivity_20260514/halfsphere_d2ma_b_r5/strict_003/CameraTrajectory.filtered.txt
halfsphere_d2ma_b_r5,loose_005,external_whalfsphere_rawrgb_rawdepth_mask,1067,1065,0,2,0.03253316879272461,0.11671590805053711,0.05,0.05,1067,1065,1064,0.29704075935231716,0.15609311235748924,0.11884398598286396,0.823257551203868,0.016220400138605894,0.48440217992782175,/home/lj/dynamic-slam-public/runs/canonical_repeat_matrix_20260514_002248/whalfsphere_d2ma_b_r5/r1,/home/lj/dynamic-slam-public/runs/association_clean_sensitivity_20260514/halfsphere_d2ma_b_r5/loose_005/CameraTrajectory.filtered.txt
