case,mp_id,is_bad,first_kf_id,first_frame,admission_frame,admission_kf,admission_feature,neighbor_kf,neighbor_feature,boundary_radius_px,support_score,candidate_score,total_score,raw_support,reliable_support,residual_support,depth_support,geom_baseline,geom_cos_parallax,geom_parallax_score,geom_reproj_ratio1,geom_reproj_ratio2,geom_scale_score,geom_final_candidate_score,geom_final_total_score,geom_dist1,geom_dist2,geom_ratio_dist,geom_ratio_octave,geom_stereo,geom_boundary_current,geom_boundary_neighbor,observations,found,visible,found_ratio,pose_use_edges,pose_use_inliers,pose_use_inlier_rate,pose_use_chi2_mean,lba_windows,lba_edges,lba_inliers,lba_inlier_rate,lba_local_edges,lba_fixed_edges,lba_local_edge_rate,lba_fixed_edge_rate,lba_chi2_mean,lifecycle_prebad,lifecycle_found_ratio_cull,lifecycle_low_obs_cull,lifecycle_v7_residual_cull,lifecycle_v7_low_use_cull,lifecycle_matured,lifecycle_survived,first_matured_frame,last_lifecycle_frame,last_lifecycle_kf,ref_distance
smoke30_shadow,3946,1,15,27,-1,-1,-1,8,840,0,0.750000,0.651659,1.401659,4,1,1,1,0.093935,0.999103,1.000000,0.459841,0.200976,0.710255,0.651659,1.401659,2.133291,2.159074,1.012086,1.200000,0,1,0,4,1,1,1.000000,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,-1,-1,-1,2.141877
smoke30_shadow,3947,1,15,27,-1,-1,-1,8,840,0,0.750000,0.641250,1.391250,4,1,1,1,0.093935,0.999528,1.000000,0.000000,0.476322,0.708172,0.641250,1.391250,2.449873,2.476448,1.010847,1.200000,1,1,0,4,1,1,1.000000,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,-1,-1,-1,2.458022
smoke30_shadow,2631,1,8,18,-1,-1,-1,4,660,0,0.700000,0.880332,1.580332,3,3,3,0,0.143059,0.998741,1.000000,0.127789,0.176719,0.945454,0.880332,1.580332,2.361485,2.438425,1.032581,1.000000,0,1,0,6,1,3,0.333333,1,0,0.000000,38.216377,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,1,-1,20,10,2.368957
wrpy_shadow_r1,6737,1,40,69,-1,-1,-1,30,311,0,0.650000,0.995256,1.645256,8,2,2,0,0.129603,0.998557,1.000000,0.005717,0.005843,0.995044,0.995256,1.645256,2.413312,2.406293,0.997091,1.000000,0,1,0,3,1,2,0.500000,1,0,0.000000,81.580433,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,-1,70,41,0.000000
wrpy_shadow_r1,6863,1,42,71,-1,-1,-1,38,812,0,0.700000,0.952074,1.652074,8,1,1,1,0.097660,0.999362,1.000000,0.072961,0.013533,0.983404,0.952074,1.652074,2.629576,2.655353,1.009803,1.000000,0,1,1,4,1,2,0.500000,1,0,0.000000,15.362926,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,-1,72,43,0.000000
wrpy_shadow_r1,9654,1,59,102,-1,-1,-1,48,15,0,0.730000,0.953739,1.683739,5,1,1,1,0.200502,0.997494,1.000000,0.065238,0.052939,0.971525,0.953739,1.683739,2.731286,2.777385,1.016878,1.000000,0,1,1,4,1,5,0.200000,1,0,0.000000,35.374274,1,2,2,1.000000,2,0,1.000000,0.000000,1.076243,0,0,0,1,0,0,0,-1,106,60,2.569684
wrpy_shadow_r1,5473,1,24,38,-1,-1,-1,15,582,0,0.750000,0.709018,1.459018,1,1,1,1,0.102892,0.999447,1.000000,0.029599,0.225231,0.376627,0.709018,1.459018,3.113348,3.107851,0.998235,1.440000,0,0,1,3,1,3,0.333333,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,1,0,0,0,1,-1,40,26,0.000000
wrpy_shadow_r1,12772,1,84,133,-1,-1,-1,75,536,0,0.675000,0.648027,1.323027,4,1,1,1,0.375156,0.988486,1.000000,0.300405,0.131733,0.313081,0.648027,1.323027,2.349861,2.443606,1.039894,0.694444,0,1,0,6,1,4,0.250000,1,0,0.000000,42.860574,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,2,-1,136,87,0.000000
wrpy_shadow_r1,12773,1,84,133,-1,-1,-1,75,536,0,0.683333,0.799451,1.482785,3,1,1,1,0.375156,0.989104,1.000000,0.152034,0.177775,0.624465,0.799451,1.482785,2.412562,2.507039,1.039160,0.833333,0,1,0,6,2,22,0.090909,3,1,0.333333,94.798124,10,23,20,0.869565,21,2,0.913043,0.086957,3.519820,0,0,0,0,0,1,2,136,136,87,2.119668
wrpy_shadow_r1,9344,1,57,100,-1,-1,-1,52,623,0,0.750000,0.788414,1.538414,1,1,1,1,0.095890,0.996623,1.000000,0.331629,0.223075,0.949566,0.788414,1.538414,1.111889,1.079411,0.970791,1.000000,0,1,0,6,1,7,0.142857,1,0,0.000000,281.676325,1,2,2,1.000000,2,0,1.000000,0.000000,0.787826,0,0,0,1,0,0,2,-1,106,60,1.152387
wrpy_shadow_r1,6016,1,32,55,-1,-1,-1,26,976,0,0.716667,0.888179,1.604846,3,1,1,1,0.121857,0.998681,1.000000,0.019743,0.182979,0.991865,0.888179,1.604846,2.372345,2.361029,0.995230,1.000000,0,1,0,8,6,6,1.000000,5,5,1.000000,0.499000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,1,2,58,58,35,2.344736
wrpy_shadow_r1,5529,1,25,39,-1,-1,-1,17,850,0,0.400000,0.666273,1.066273,6,1,1,0,0.090226,0.999381,1.000000,0.000000,0.437370,0.714780,0.666273,1.066273,2.169637,2.138034,0.985434,0.833333,1,1,0,6,3,3,1.000000,3,3,1.000000,0.283590,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,2,-1,48,28,0.000000
wrpy_shadow_r1,5533,1,25,39,-1,-1,-1,13,107,0,0.400000,0.776741,1.176741,6,1,1,0,0.112623,0.998940,1.000000,0.363887,0.019414,0.980296,0.776741,1.176741,2.387868,2.360371,0.988485,1.000000,0,1,0,6,2,2,1.000000,3,1,0.333333,5.825458,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,1,-1,41,27,0.000000
wrpy_shadow_r1,15652,1,114,164,-1,-1,-1,105,823,0,0.450000,0.994944,1.444944,1,1,1,0,0.097122,0.999590,1.000000,0.002352,0.002078,0.985422,0.994944,1.444944,3.237086,3.264943,1.008605,1.000000,0,0,1,2,1,3,0.333333,0,0,0.000000,0.000000,1,2,2,1.000000,2,0,1.000000,0.000000,0.000066,0,0,1,0,0,0,1,-1,166,116,3.312715
wrpy_shadow_r1,15513,1,112,162,-1,-1,-1,101,4,0,0.700000,0.980975,1.680975,5,4,4,0,0.179391,0.999519,1.000000,0.029247,0.028723,0.994094,0.980975,1.680975,5.748923,5.768915,1.003477,1.000000,0,0,1,2,1,3,0.333333,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,1,0,0,0,1,-1,164,114,5.767413
wrpy_shadow_r1,6151,1,34,57,-1,-1,-1,26,563,0,0.936364,0.645722,1.582086,11,2,2,1,0.116891,0.999007,1.000000,0.468371,0.007942,0.706979,0.645722,1.582086,2.574266,2.548428,0.989963,0.833333,0,1,1,3,1,2,0.500000,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,1,-1,60,36,0.000000
wrpy_shadow_r1,6155,1,34,57,-1,-1,-1,27,849,0,0.372222,0.925252,1.297475,9,1,1,0,0.109561,0.999171,1.000000,0.000346,0.000248,0.701839,0.925252,1.297475,2.661198,2.642459,0.992958,0.833333,0,1,0,3,2,2,1.000000,1,1,1.000000,0.271698,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,1,-1,60,36,0.000000
wrpy_shadow_r1,13334,1,89,139,-1,-1,-1,81,116,0,0.700000,0.870473,1.570473,3,3,3,0,0.203868,0.998908,1.000000,0.049475,0.075553,0.663220,0.870473,1.570473,4.179672,4.114838,0.984488,1.200000,0,0,1,3,2,2,1.000000,2,1,0.500000,7.007310,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,1,-1,141,91,0.000000
wrpy_shadow_r1,7159,0,46,80,-1,-1,-1,38,956,0,0.450000,0.876161,1.326161,1,1,1,0,0.111643,0.998701,1.000000,0.203163,0.015025,0.992235,0.876161,1.326161,2.181309,2.191287,1.004575,1.000000,0,1,1,22,35,589,0.059423,203,45,0.221675,106.047205,91,1179,1085,0.920271,945,234,0.801527,0.198473,7.517007,0,0,0,0,0,1,2,88,88,49,2.526830
wrpy_shadow_r1,7092,1,45,79,-1,-1,-1,38,34,0,0.450000,0.914615,1.364615,2,1,1,0,0.113862,0.999219,1.000000,0.000034,0.014990,0.694438,0.914615,1.364615,2.870456,2.878264,1.002720,1.200000,0,1,1,27,17,105,0.161905,48,10,0.208333,46.810747,31,278,256,0.920863,231,47,0.830935,0.169065,5.552876,0,0,0,0,0,1,2,84,84,48,2.923061
wrpy_shadow_r1,11090,1,68,116,-1,-1,-1,59,182,0,0.700000,0.659892,1.359892,6,1,1,1,0.237624,0.977744,1.000000,0.566157,0.325801,0.998346,0.659892,1.359892,1.125662,1.126757,1.000973,1.000000,0,1,0,2,1,31,0.032258,2,0,0.000000,253.184615,13,28,24,0.857143,24,4,0.857143,0.142857,5.983912,0,0,0,0,0,1,2,119,119,71,1.102693
wrpy_shadow_r1,13420,1,90,140,-1,-1,-1,81,156,0,0.450000,0.932207,1.382207,3,1,1,0,0.210953,0.998623,1.000000,0.088621,0.096552,0.960554,0.932207,1.382207,3.732309,3.646768,0.977081,1.000000,0,0,1,3,1,2,0.500000,1,0,0.000000,6.185822,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,-1,141,91,0.000000
wrpy_shadow_r1,8822,1,54,95,-1,-1,-1,48,602,0,0.750000,0.852017,1.602017,1,1,1,1,0.118988,0.995036,1.000000,0.150172,0.005193,0.768480,0.852017,1.602017,1.107428,1.057389,0.954815,0.833333,0,1,0,5,1,2,0.500000,1,0,0.000000,14.612261,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,-1,96,55,1.108875
wrpy_shadow_r1,8985,1,55,96,-1,-1,-1,50,244,0,0.716667,0.696536,1.413202,6,1,1,1,0.082213,0.999508,1.000000,0.479077,0.502706,0.992638,0.696536,1.413202,2.623190,2.634566,1.004337,1.000000,0,1,1,14,1,1,1.000000,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,-1,99,56,2.598087
wrpy_shadow_r1,8987,0,55,96,-1,-1,-1,50,845,0,0.716667,0.825004,1.541671,6,1,1,1,0.082213,0.999490,1.000000,0.109938,0.165608,0.697476,0.825004,1.541671,2.570543,2.582142,1.004512,1.200000,0,1,1,9,15,370,0.040541,89,9,0.101124,105.088739,92,968,934,0.964876,730,238,0.754132,0.245868,3.848817,0,0,0,0,0,1,2,101,101,58,2.453674
wrpy_shadow_r1,16632,1,137,187,-1,-1,-1,110,167,0,0.700000,0.780426,1.480426,4,4,4,0,0.143291,0.999780,0.098659,0.009966,0.014110,0.696372,0.780426,1.480426,6.731031,6.757015,1.003860,1.200000,0,1,0,2,1,3,0.333333,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,1,0,0,0,1,-1,189,139,6.750692
wrpy_shadow_r1,9345,1,57,100,-1,-1,-1,48,602,0,0.750000,0.885251,1.635251,1,1,1,1,0.179454,0.988942,1.000000,0.107480,0.000211,0.798957,0.885251,1.635251,1.143924,1.072844,0.937863,0.833333,0,1,0,7,4,4,1.000000,3,3,1.000000,0.973732,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,2,-1,106,60,1.155215
wrpy_shadow_r1,12898,1,85,134,-1,-1,-1,78,656,0,0.716667,0.911304,1.627970,3,1,1,1,0.251415,0.996118,1.000000,0.014533,0.036287,0.732304,0.911304,1.627970,2.710202,2.778737,1.025288,1.200000,0,1,0,8,3,3,1.000000,3,3,1.000000,0.160045,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,2,-1,138,88,0.000000
wrpy_shadow_r1,16658,1,137,187,-1,-1,-1,108,987,0,0.683333,0.948711,1.632045,6,4,4,0,0.155712,0.999666,0.670045,0.000355,0.000357,0.993674,0.948711,1.632045,5.958179,5.980373,1.003725,1.000000,0,1,0,3,2,3,0.666667,1,1,1.000000,0.218426,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,1,0,0,0,1,-1,189,139,5.977715
wrpy_shadow_r1,20672,1,179,232,-1,-1,-1,175,779,0,0.750000,0.823680,1.573680,2,1,1,1,0.095500,0.999448,1.000000,0.017473,0.031725,0.370858,0.823680,1.573680,2.853480,2.838799,0.994855,1.440000,0,0,1,4,1,1,1.000000,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,-1,234,180,0.000000
wrpy_shadow_r1,21301,1,185,239,-1,-1,-1,182,198,0,0.750000,0.490110,1.240110,1,1,1,1,0.095333,0.997684,1.000000,0.844040,0.531711,0.986138,0.490110,1.240110,1.396652,1.385319,0.991885,1.000000,0,1,1,6,1,2,0.500000,1,0,0.000000,73.192301,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,-1,240,186,1.533161
wrpy_shadow_r1,21408,1,186,240,-1,-1,-1,184,803,0,0.710000,0.647307,1.357307,5,1,1,1,0.090717,0.997835,1.000000,0.465408,0.227131,0.706209,0.647307,1.357307,1.372254,1.359096,0.990411,0.833333,0,1,1,6,2,2,1.000000,1,1,1.000000,5.479139,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,1,-1,242,188,1.496269
wrpy_shadow_r1,21092,1,183,237,-1,-1,-1,173,937,0,0.733333,0.929867,1.663201,6,1,1,1,0.272527,0.981729,1.000000,0.020723,0.027162,0.784659,0.929867,1.663201,1.407071,1.330778,0.945778,0.833333,0,1,1,4,1,1,1.000000,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,-1,238,184,1.559768
wrpy_shadow_r1,17357,1,148,198,-1,-1,-1,109,164,0,0.700000,0.919470,1.619470,2,2,2,0,0.157197,0.999548,1.000000,0.006215,0.007317,0.695440,0.919470,1.619470,5.187881,5.205056,1.003311,1.200000,0,1,0,3,2,2,1.000000,2,1,0.500000,9.024458,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,1,-1,200,150,0.000000
wrpy_shadow_r1,17353,1,148,198,-1,-1,-1,109,164,0,0.700000,0.984917,1.684917,2,2,2,0,0.157197,0.999532,1.000000,0.022761,0.018603,0.994293,0.984917,1.684917,5.099869,5.117004,1.003360,1.000000,0,1,0,4,2,3,0.666667,2,1,0.500000,11.229045,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,1,-1,200,150,0.000000
wrpy_shadow_r1,23117,1,217,276,-1,-1,-1,212,690,0,0.675000,0.823678,1.498678,4,2,2,0,0.081007,0.999988,1.000000,0.000000,0.158940,0.676167,0.823678,1.498678,9.344950,9.420230,1.008056,0.833333,1,1,0,6,1,4,0.250000,1,0,0.000000,87.504360,1,2,2,1.000000,2,0,1.000000,0.000000,0.383260,0,0,0,1,0,0,2,-1,279,220,9.555201
wrpy_shadow_r1,21433,1,186,240,-1,-1,-1,182,482,0,0.683333,0.477977,1.161310,3,1,1,1,0.147386,0.994065,1.000000,0.739660,0.565311,0.687091,0.477977,1.161310,1.354242,1.352074,0.998399,1.200000,0,1,1,6,1,2,0.500000,1,0,0.000000,8.557720,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,-1,241,187,1.478732
wrpy_shadow_r1,20450,0,176,229,-1,-1,-1,171,865,0,1.000000,0.780980,1.780980,4,2,2,2,0.139747,0.995638,1.000000,0.024792,0.073535,0.300403,0.780980,1.780980,1.372761,1.310297,0.954497,1.440000,0,1,1,13,10,135,0.074074,74,16,0.216216,147.273969,93,924,871,0.942641,819,105,0.886364,0.113636,13.200711,0,0,0,0,0,1,2,232,232,179,1.307239
wrpy_shadow_r1,54572,0,522,817,-1,-1,-1,520,721,0,0.450000,0.990063,1.440063,1,1,1,0,0.078954,0.999609,0.953800,0.003828,0.003765,0.997160,0.990063,1.440063,2.810120,2.814815,1.001671,1.000000,0,1,0,17,23,87,0.264368,84,36,0.428571,26.828768,15,218,191,0.876147,218,0,1.000000,0.000000,9.710030,0,0,0,0,0,1,2,820,820,525,4.108022
wrpy_shadow_r1,52851,1,487,780,-1,-1,-1,460,939,0,0.700000,0.918761,1.618761,2,2,2,0,0.154654,0.998651,1.000000,0.000245,0.000182,0.675634,0.918761,1.618761,2.927728,2.952237,1.008371,0.833333,0,0,1,2,1,1,1.000000,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,0,-1,781,488,0.000000
wrpy_shadow_r1,56104,0,531,828,-1,-1,-1,527,816,0,0.725000,0.895021,1.620021,4,1,1,1,0.130833,0.994907,1.000000,0.150349,0.099135,0.940924,0.895021,1.620021,1.206183,1.248802,1.035334,1.000000,0,1,0,14,2,81,0.024691,2,1,0.500000,6.613066,13,87,87,1.000000,87,0,1.000000,0.000000,2.536793,0,0,0,0,0,1,2,831,831,534,1.156214
wrpy_shadow_r2,6737,1,40,69,-1,-1,-1,30,311,0,0.650000,0.995256,1.645256,8,2,2,0,0.129603,0.998557,1.000000,0.005717,0.005843,0.995044,0.995256,1.645256,2.413312,2.406293,0.997091,1.000000,0,1,0,3,1,2,0.500000,1,0,0.000000,81.580433,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,-1,70,41,0.000000
wrpy_shadow_r2,6863,1,42,71,-1,-1,-1,38,812,0,0.700000,0.952074,1.652074,8,1,1,1,0.097660,0.999362,1.000000,0.072961,0.013533,0.983404,0.952074,1.652074,2.629576,2.655353,1.009803,1.000000,0,1,1,4,1,2,0.500000,1,0,0.000000,15.362926,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,-1,72,43,0.000000
wrpy_shadow_r2,9654,1,59,102,-1,-1,-1,48,15,0,0.730000,0.953739,1.683739,5,1,1,1,0.200502,0.997494,1.000000,0.065238,0.052939,0.971525,0.953739,1.683739,2.731286,2.777385,1.016878,1.000000,0,1,1,4,1,5,0.200000,1,0,0.000000,35.374274,1,2,2,1.000000,2,0,1.000000,0.000000,1.076243,0,0,0,1,0,0,0,-1,106,60,2.569684
wrpy_shadow_r2,5473,1,24,38,-1,-1,-1,15,582,0,0.750000,0.709018,1.459018,1,1,1,1,0.102892,0.999447,1.000000,0.029599,0.225231,0.376627,0.709018,1.459018,3.113348,3.107851,0.998235,1.440000,0,0,1,3,1,3,0.333333,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,1,0,0,0,1,-1,40,26,0.000000
wrpy_shadow_r2,12772,1,84,133,-1,-1,-1,75,536,0,0.675000,0.648027,1.323027,4,1,1,1,0.375156,0.988486,1.000000,0.300405,0.131733,0.313081,0.648027,1.323027,2.349861,2.443606,1.039894,0.694444,0,1,0,6,1,4,0.250000,1,0,0.000000,42.860574,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,2,-1,136,87,0.000000
wrpy_shadow_r2,12773,1,84,133,-1,-1,-1,75,536,0,0.683333,0.799451,1.482785,3,1,1,1,0.375156,0.989104,1.000000,0.152034,0.177775,0.624465,0.799451,1.482785,2.412562,2.507039,1.039160,0.833333,0,1,0,6,2,22,0.090909,3,1,0.333333,94.798124,10,23,20,0.869565,21,2,0.913043,0.086957,3.519820,0,0,0,0,0,1,2,136,136,87,2.119668
wrpy_shadow_r2,9344,1,57,100,-1,-1,-1,52,623,0,0.750000,0.788414,1.538414,1,1,1,1,0.095890,0.996623,1.000000,0.331629,0.223075,0.949566,0.788414,1.538414,1.111889,1.079411,0.970791,1.000000,0,1,0,6,1,7,0.142857,1,0,0.000000,281.676325,1,2,2,1.000000,2,0,1.000000,0.000000,0.787826,0,0,0,1,0,0,2,-1,106,60,1.152387
wrpy_shadow_r2,6016,1,32,55,-1,-1,-1,26,976,0,0.716667,0.888179,1.604846,3,1,1,1,0.121857,0.998681,1.000000,0.019743,0.182979,0.991865,0.888179,1.604846,2.372345,2.361029,0.995230,1.000000,0,1,0,8,6,6,1.000000,5,5,1.000000,0.499000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,1,2,58,58,35,2.344736
wrpy_shadow_r2,5529,1,25,39,-1,-1,-1,17,850,0,0.400000,0.666273,1.066273,6,1,1,0,0.090226,0.999381,1.000000,0.000000,0.437370,0.714780,0.666273,1.066273,2.169637,2.138034,0.985434,0.833333,1,1,0,6,3,3,1.000000,3,3,1.000000,0.283590,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,2,-1,48,28,0.000000
wrpy_shadow_r2,5533,1,25,39,-1,-1,-1,13,107,0,0.400000,0.776741,1.176741,6,1,1,0,0.112623,0.998940,1.000000,0.363887,0.019414,0.980296,0.776741,1.176741,2.387868,2.360371,0.988485,1.000000,0,1,0,6,2,2,1.000000,3,1,0.333333,5.825458,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,1,-1,41,27,0.000000
wrpy_shadow_r2,15652,1,114,164,-1,-1,-1,105,823,0,0.450000,0.994944,1.444944,1,1,1,0,0.097122,0.999590,1.000000,0.002352,0.002078,0.985422,0.994944,1.444944,3.237086,3.264943,1.008605,1.000000,0,0,1,2,1,3,0.333333,0,0,0.000000,0.000000,1,2,2,1.000000,2,0,1.000000,0.000000,0.000066,0,0,1,0,0,0,1,-1,166,116,3.312715
wrpy_shadow_r2,15513,1,112,162,-1,-1,-1,101,4,0,0.700000,0.980975,1.680975,5,4,4,0,0.179391,0.999519,1.000000,0.029247,0.028723,0.994094,0.980975,1.680975,5.748923,5.768915,1.003477,1.000000,0,0,1,2,1,3,0.333333,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,1,0,0,0,1,-1,164,114,5.767413
wrpy_shadow_r2,6151,1,34,57,-1,-1,-1,26,563,0,0.936364,0.645722,1.582086,11,2,2,1,0.116891,0.999007,1.000000,0.468371,0.007942,0.706979,0.645722,1.582086,2.574266,2.548428,0.989963,0.833333,0,1,1,3,1,2,0.500000,0,0,0.000000,0.000000,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,1,-1,60,36,0.000000
wrpy_shadow_r2,6155,1,34,57,-1,-1,-1,27,849,0,0.372222,0.925252,1.297475,9,1,1,0,0.109561,0.999171,1.000000,0.000346,0.000248,0.701839,0.925252,1.297475,2.661198,2.642459,0.992958,0.833333,0,1,0,3,2,2,1.000000,1,1,1.000000,0.271698,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,1,0,0,0,0,0,1,-1,60,36,0.000000
wrpy_shadow_r2,13334,1,89,139,-1,-1,-1,81,116,0,0.700000,0.870473,1.570473,3,3,3,0,0.203868,0.998908,1.000000,0.049475,0.075553,0.663220,0.870473,1.570473,4.179672,4.114838,0.984488,1.200000,0,0,1,3,2,2,1.000000,2,1,0.500000,7.007310,0,0,0,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,1,-1,141,91,0.000000
