frame_id,timestamp,promoted_pairs,support_num_kfs,support_num_mps,hard_num_kfs,hard_num_mps,support_inliers,hard_inliers,support_mask_ratio,hard_mask_ratio,support_se3_error_m,hard_se3_error_m,support_sim3_error_m,hard_sim3_error_m,support_cum_est_gt_ratio,hard_cum_est_gt_ratio,support_next30_est_gt_ratio,hard_next30_est_gt_ratio,support_next60_est_gt_ratio,hard_next60_est_gt_ratio,support_mean_inliers_next30,hard_mean_inliers_next30,support_mean_mask_next30,hard_mean_mask_next30,lm_quality_raw_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_quality_depth_support_sum,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_triangulated,lm_promoted_geom_depth,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_created,support_delta_mps_next30,hard_delta_mps_next30,support_delta_kfs_next30,hard_delta_kfs_next30,support_delta_mps_next60,hard_delta_mps_next60
38,1341846649.042101,1,24,1611,24,1584,193,192,0.299453,0.299453,0.138435,0.130886,0.188237,0.177807,1.768577,1.676068,2.215162,2.286469,1.813971,1.809631,205.129032,211.000000,0.303847,0.303847,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,97,-38,15,16,1013,726
39,1341846649.074128,2,25,1613,25,1589,185,192,0.319870,0.319870,0.154100,0.147593,0.197335,0.186119,1.807162,1.705692,2.153650,2.225258,1.800590,1.799042,207.419355,212.483871,0.303351,0.303351,16,11,14,11,2,2,0,2,2,2,2,2,2,2,2,144,-43,15,15,679,858
40,1341846649.106188,2,26,1632,26,1616,186,188,0.345771,0.345771,0.150192,0.142145,0.202802,0.191719,1.797218,1.692312,2.105421,2.213036,1.786125,1.781292,210.032258,213.000000,0.302870,0.302870,13,13,4,7,2,2,0,2,2,2,2,2,1,1,1,167,-22,15,14,660,888
48,1341846649.383973,2,28,1517,28,1511,152,173,0.345423,0.345423,0.140627,0.132098,0.231763,0.218083,1.931645,1.817088,2.150135,2.104241,1.594911,1.604113,225.548387,227.451613,0.293029,0.293029,8,6,8,0,3,3,0,2,2,2,2,2,2,2,2,275,117,15,12,1026,833
49,1341846649.416053,1,29,1573,29,1555,187,199,0.366794,0.366794,0.166744,0.158604,0.240832,0.229656,1.976656,1.858817,2.180941,2.121261,1.542300,1.556133,229.096774,230.096774,0.293039,0.293039,2,2,2,0,1,1,0,1,1,1,1,1,1,1,1,276,93,15,12,1084,890
56,1341846649.678101,1,32,1576,32,1469,199,205,0.322702,0.322702,0.148047,0.131915,0.266297,0.252482,2.003872,1.881100,2.125505,2.181435,1.507155,1.536375,244.612903,234.387097,0.259490,0.259490,9,5,9,3,1,1,0,1,1,1,1,1,1,1,1,617,420,14,11,963,1191
57,1341846649.710937,1,33,1633,32,1546,198,164,0.335755,0.335755,0.152014,0.139948,0.270048,0.255082,2.008716,1.946362,2.029603,2.002594,1.524812,1.526161,250.290323,238.580645,0.252779,0.252779,9,8,3,1,2,2,1,1,1,1,1,0,0,0,0,724,343,13,11,1073,1181
59,1341846649.778019,1,35,1750,34,1678,223,226,0.213070,0.213070,0.159478,0.135937,0.281478,0.262421,2.010850,1.937122,1.925716,1.922871,1.534094,1.532236,257.548387,245.838710,0.238120,0.238120,3,3,3,0,1,1,0,1,1,1,1,1,1,1,1,308,211,9,9,1137,1015
60,1341846649.810257,1,36,1728,35,1779,172,190,0.192793,0.192793,0.175469,0.151711,0.289362,0.273617,2.030904,1.956335,1.827522,1.843712,1.521986,1.530116,260.419355,247.612903,0.234929,0.234929,9,9,4,9,3,3,3,1,1,1,1,1,1,1,1,330,347,8,8,1261,1032
62,1341846649.878137,2,38,1884,36,1610,270,209,0.209339,0.209339,0.178006,0.152958,0.298861,0.277261,2.036807,2.038685,1.721757,1.635308,1.550887,1.517613,265.419355,254.419355,0.229714,0.229714,9,7,9,3,7,7,3,2,2,2,2,2,2,2,2,518,780,7,9,967,1006
68,1341846650.078250,4,39,1708,40,1546,189,245,0.262360,0.262360,0.165300,0.154665,0.327832,0.310136,2.011950,2.008715,1.510943,1.449466,1.689234,1.655458,285.064516,265.709677,0.210817,0.210817,31,26,15,7,10,10,2,4,4,4,4,3,3,3,3,916,764,11,4,1040,1040
69,1341846650.114215,1,40,1757,40,1546,264,238,0.284072,0.284072,0.165353,0.158862,0.333362,0.316614,1.993975,1.985822,1.530946,1.473527,1.736758,1.710270,288.161290,266.774194,0.207192,0.207192,10,8,8,0,4,4,0,1,1,1,1,1,1,1,1,535,901,8,5,1015,1083
70,1341846650.146137,1,41,1799,40,1594,266,208,0.304954,0.304954,0.166689,0.151484,0.342056,0.323362,1.961264,1.969476,1.543897,1.453758,1.783520,1.743070,290.032258,270.548387,0.203500,0.203500,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,493,910,7,6,991,1087
71,1341846650.182236,2,42,1834,41,1619,268,235,0.271979,0.271979,0.166641,0.155385,0.345589,0.328515,1.957078,1.954685,1.505712,1.428701,1.804940,1.772337,290.451613,275.000000,0.197323,0.197323,18,16,14,13,6,6,5,2,2,2,2,2,2,2,2,665,510,6,5,920,1126
77,1341846650.382075,2,42,1735,40,1560,230,245,0.301292,0.301292,0.180747,0.169730,0.371092,0.352921,2.011395,1.935824,1.266600,1.297953,1.797549,1.882494,311.709677,292.645161,0.170898,0.170898,7,6,6,7,2,2,2,2,2,2,2,2,2,2,2,741,636,9,10,1086,1221
78,1341846650.414224,1,43,1792,40,1628,211,185,0.326038,0.326038,0.171755,0.163612,0.369111,0.352128,2.035147,1.953118,1.236470,1.281240,1.779804,1.869891,314.677419,294.419355,0.166613,0.166613,11,9,8,3,4,4,1,1,1,1,1,0,0,0,0,751,716,9,10,1029,1245
80,1341846650.484849,1,45,1883,42,1706,265,244,0.287562,0.287562,0.192864,0.178098,0.374674,0.355532,2.078645,1.987453,1.161124,1.225711,1.764864,1.864112,316.774194,298.774194,0.156435,0.156435,2,1,2,0,1,1,0,1,1,1,1,1,1,1,1,821,846,9,10,1064,1244
83,1341846650.582069,1,44,2029,42,1607,253,232,0.100247,0.100247,0.179038,0.175293,0.362815,0.346664,2.110154,2.045045,1.129128,1.156029,1.766564,1.915844,317.387097,301.580645,0.142619,0.142619,9,8,5,7,3,3,2,1,1,1,1,0,0,0,0,679,712,11,8,924,1275
87,1341846650.718110,1,46,2357,43,1889,375,335,0.114674,0.114674,0.175407,0.157373,0.335442,0.316055,2.017537,1.970110,1.250594,1.267347,1.921386,2.088315,305.806452,297.677419,0.150427,0.150427,9,7,9,7,3,3,2,1,1,1,1,0,0,0,0,349,838,11,10,703,1119
93,1341846650.918288,1,46,2542,43,2111,347,330,0.138158,0.138158,0.165037,0.150361,0.284777,0.266988,1.888977,1.854967,1.473732,1.472691,2.182695,2.516672,284.032258,279.354839,0.178476,0.178476,11,10,10,11,1,1,1,1,1,1,1,1,1,1,1,277,578,16,14,603,1034
96,1341846651.018106,2,48,2507,43,2111,338,271,0.150433,0.150433,0.163701,0.150682,0.260019,0.243374,1.832804,1.801471,1.674538,1.689205,2.304268,2.690165,268.129032,265.580645,0.195268,0.195268,11,9,11,11,2,2,2,2,2,2,2,1,1,1,1,147,582,17,17,646,1130
104,1341846651.286406,1,51,2626,47,2391,398,384,0.146969,0.146969,0.144049,0.136347,0.196114,0.183357,1.729918,1.700617,2.216375,2.169788,2.719053,3.090342,218.967742,223.161290,0.227712,0.227712,8,6,6,0,1,1,0,1,1,1,1,0,0,0,0,361,433,20,19,749,991
117,1341846651.754212,1,57,2706,53,2727,217,230,0.170576,0.170576,0.063821,0.040088,0.068724,0.062215,1.682085,1.662729,2.681645,3.018779,3.521848,3.931781,155.645161,167.580645,0.241218,0.241218,6,6,5,6,2,2,2,1,1,1,1,1,1,1,1,354,281,23,24,703,652
129,1341846652.158232,1,67,2772,62,2629,151,149,0.279867,0.279867,0.349115,0.320333,0.042750,0.040618,1.830946,1.811172,3.316920,4.349645,3.892560,4.442426,119.612903,134.612903,0.173277,0.173277,7,5,5,6,1,1,1,1,1,1,1,1,1,1,1,470,640,25,27,689,852
139,1341846652.494100,1,72,2923,69,2914,129,251,0.179945,0.179945,0.492023,0.398784,0.075053,0.050706,1.895883,1.913395,5.174034,6.157283,5.117550,4.576116,110.387097,123.967742,0.130151,0.130151,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,487,468,30,30,665,564
140,1341846652.526469,1,73,2947,70,2950,199,246,0.181074,0.181074,0.482723,0.402714,0.075190,0.056502,1.883707,1.910827,5.783098,6.835189,5.521924,4.706482,108.903226,118.741935,0.127755,0.127755,2,2,2,0,2,2,0,1,1,1,1,1,1,1,1,476,389,30,30,608,607
141,1341846652.562089,1,74,3027,71,2948,182,184,0.198812,0.198812,0.479723,0.398472,0.080206,0.063333,1.890322,1.920180,5.929795,7.080107,5.518644,4.727129,105.709677,113.741935,0.125556,0.125556,4,2,4,2,1,1,1,1,1,1,1,1,0,0,0,354,405,30,30,558,630
159,1341846653.162620,1,92,3242,89,3269,125,142,0.044525,0.044525,0.514209,0.497778,0.102954,0.087998,2.096085,2.264106,5.608863,4.719059,4.821495,3.656542,115.806452,111.516129,0.089571,0.089571,2,2,2,0,1,1,0,1,1,1,1,1,1,1,1,219,212,29,29,846,453
160,1341846653.198437,1,93,3328,90,3347,148,153,0.048480,0.048480,0.542847,0.518988,0.103432,0.093695,2.116236,2.283808,5.473247,4.313660,5.087258,3.863535,117.935484,112.419355,0.091218,0.091218,3,3,3,0,2,2,0,1,0,0,0,0,0,0,0,236,70,29,28,790,495
162,1341846653.262357,1,95,3401,92,3255,146,142,0.103190,0.103190,0.547046,0.549558,0.110696,0.094214,2.139588,2.304404,4.982436,3.651166,5.608682,4.243136,120.548387,113.741935,0.091919,0.091919,3,3,3,0,2,2,0,1,1,1,1,1,1,1,1,72,252,26,28,652,743
187,1341846654.102438,5,119,3475,116,3394,106,101,0.094850,0.094850,0.612181,0.596817,0.102565,0.092897,2.281488,2.411322,4.248377,3.191837,6.172132,5.318320,170.870968,168.193548,0.070798,0.070798,17,17,15,0,5,5,0,5,2,2,2,2,2,2,2,417,461,26,26,685,485
192,1341846654.270041,1,121,3473,120,3507,168,166,0.087132,0.087132,0.638724,0.616831,0.099500,0.088143,2.311703,2.385941,5.832496,4.454700,6.210448,5.576129,174.064516,170.967742,0.083611,0.083611,4,4,3,0,1,1,0,1,1,1,1,1,1,1,1,580,491,29,26,621,311
227,1341846655.442262,1,154,4058,150,3994,172,189,0.139554,0.139554,0.186088,0.113055,0.020241,0.003310,2.896947,2.785633,7.283559,8.315542,7.130282,8.635206,194.193548,184.548387,0.169118,0.169118,22,14,15,22,2,2,2,1,1,1,1,1,1,1,1,80,-107,24,21,481,368
229,1341846655.510277,2,156,4208,152,3845,203,228,0.158405,0.158405,0.118423,0.042376,0.024491,0.025775,2.946201,2.822555,7.033057,8.543691,6.979880,8.658763,193.064516,182.387097,0.170101,0.170101,13,4,12,13,2,2,2,2,2,2,2,1,1,1,1,-142,82,23,21,303,651
239,1341846655.846257,2,164,4167,159,3902,175,151,0.146914,0.146914,0.058133,0.092534,0.031601,0.045653,3.028346,2.901787,7.902393,10.958236,7.727289,10.736758,185.903226,171.935484,0.160874,0.160874,12,8,10,12,2,3,2,2,2,2,2,2,2,2,2,-111,13,20,21,581,397
240,1341846655.910355,1,164,4069,160,3971,117,128,0.156003,0.156003,0.101400,0.050215,0.040465,0.022614,3.046136,2.963978,7.894231,10.135256,7.954490,10.700441,185.806452,172.516129,0.160670,0.160670,30,15,25,28,1,1,1,1,1,1,1,1,1,1,1,0,-172,21,19,796,328
676,1341846670.566977,1,270,5771,274,5752,160,153,0.115723,0.115723,0.129585,0.128081,0.091557,0.093217,5.574295,5.727779,7.658253,6.647125,7.979772,7.121663,106.322581,106.322581,0.167698,0.167698,5,3,5,0,3,3,0,1,1,1,1,1,0,0,0,-275,-290,21,24,24,-47
693,1341846671.132289,1,282,5436,288,5350,64,49,0.181361,0.181361,0.072751,0.078300,0.100519,0.092308,5.556912,5.682381,10.566716,9.976152,8.906116,8.168873,122.580645,143.451613,0.115921,0.115921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97,183,18,13,289,208
696,1341846671.232280,1,284,5408,291,5354,77,101,0.167611,0.167611,0.074528,0.079149,0.103130,0.098224,5.559380,5.700095,11.870028,10.381681,8.996730,7.814932,131.322581,153.032258,0.106641,0.106641,6,4,6,6,1,1,1,1,1,1,1,1,1,1,1,231,277,17,10,302,204
713,1341846671.804605,1,295,5544,299,5552,122,160,0.110322,0.110322,0.053127,0.030523,0.122033,0.117764,5.664527,5.776258,7.867138,6.932758,5.557316,4.885356,175.419355,191.548387,0.075081,0.075081,3,3,2,3,1,1,1,1,1,1,1,1,1,1,0,102,152,15,9,31,-51
871,1341846677.226206,1,359,6173,361,6042,227,259,0.000000,0.000000,0.745983,0.680008,0.211253,0.204788,5.526369,5.572209,4.371671,4.306529,4.441368,4.521338,292.258065,267.451613,0.008052,0.008052,2,1,2,0,1,1,0,1,1,1,1,1,1,1,1,-152,25,6,7,-117,-36
