match_start,match_end,frame_start,frame_end,count,mainline_se3_rmse_m,mainline_sim3_rmse_m,mainline_path_ratio,mainline_keyframes,v8_se3_rmse_m,v8_sim3_rmse_m,v8_path_ratio,v8_keyframes,v9_se3_rmse_m,v9_sim3_rmse_m,v9_path_ratio,v9_keyframes,v8_minus_mainline_se3_rmse_m,v8_minus_mainline_sim3_rmse_m,v9_minus_mainline_se3_rmse_m,v9_minus_mainline_sim3_rmse_m,v9_minus_v8_se3_rmse_m,v9_minus_v8_sim3_rmse_m,mainline_ckf_direct_vetoed_candidates,mainline_ckf_accepted_depth_candidates,mainline_ckf_boundary_skipped_new_candidates,mainline_ckf_boundary_existing_supported_candidates,mainline_lm_skipped_boundary_pairs,mainline_lm_delayed_rejected_boundary_pairs,mainline_lm_quality_rejected_boundary_pairs,mainline_lm_support_promoted_boundary_pairs,mainline_lm_score_support_candidates,mainline_lm_score_support_accepted,mainline_lm_score_support_rejected,mainline_lm_score_geom_evaluated,mainline_lm_score_post_geom_rejected,mainline_lm_score_created,mainline_v9_lba_delay_windows,mainline_v9_delayed_mp_sum,mainline_v9_delayed_mp_max,mainline_v9_delayed_mp_mean,mainline_v9_optimizer_edges_mean,v8_ckf_direct_vetoed_candidates,v8_ckf_accepted_depth_candidates,v8_ckf_boundary_skipped_new_candidates,v8_ckf_boundary_existing_supported_candidates,v8_lm_skipped_boundary_pairs,v8_lm_delayed_rejected_boundary_pairs,v8_lm_quality_rejected_boundary_pairs,v8_lm_support_promoted_boundary_pairs,v8_lm_score_support_candidates,v8_lm_score_support_accepted,v8_lm_score_support_rejected,v8_lm_score_geom_evaluated,v8_lm_score_post_geom_rejected,v8_lm_score_created,v8_v9_lba_delay_windows,v8_v9_delayed_mp_sum,v8_v9_delayed_mp_max,v8_v9_delayed_mp_mean,v8_v9_optimizer_edges_mean,v9_ckf_direct_vetoed_candidates,v9_ckf_accepted_depth_candidates,v9_ckf_boundary_skipped_new_candidates,v9_ckf_boundary_existing_supported_candidates,v9_lm_skipped_boundary_pairs,v9_lm_delayed_rejected_boundary_pairs,v9_lm_quality_rejected_boundary_pairs,v9_lm_support_promoted_boundary_pairs,v9_lm_score_support_candidates,v9_lm_score_support_accepted,v9_lm_score_support_rejected,v9_lm_score_geom_evaluated,v9_lm_score_post_geom_rejected,v9_lm_score_created,v9_v9_lba_delay_windows,v9_v9_delayed_mp_sum,v9_v9_delayed_mp_max,v9_v9_delayed_mp_mean,v9_v9_optimizer_edges_mean
0,49,3,52,50,0.116391043,0.154691857,2.169631620,12,0.098346546,0.137436528,2.603530563,13,0.088505866,0.135209953,2.611723901,13,-0.018044497,-0.017255329,-0.027885177,-0.019481904,-0.009840680,-0.002226575,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,3401.000000000,15012.000000000,799.000000000,560.000000000,50.000000000,50.000000000,50.000000000,9.000000000,59.000000000,9.000000000,50.000000000,3.000000000,0.000000000,3.000000000,6.000000000,2.000000000,2.000000000,0.333333333,4449.666666667,3401.000000000,15012.000000000,799.000000000,560.000000000,50.000000000,50.000000000,50.000000000,9.000000000,59.000000000,9.000000000,50.000000000,3.000000000,0.000000000,3.000000000,6.000000000,2.000000000,2.000000000,0.333333333,4449.666666667
50,99,53,102,50,0.167172614,0.300050649,1.643085895,22,0.143017550,0.264742125,1.849393203,18,0.138307574,0.264008878,1.861936840,18,-0.024155064,-0.035308524,-0.028865040,-0.036041771,-0.004709976,-0.000733247,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,4046.000000000,21021.000000000,700.000000000,731.000000000,177.000000000,177.000000000,177.000000000,29.000000000,206.000000000,29.000000000,177.000000000,24.000000000,0.000000000,24.000000000,7.000000000,2.000000000,2.000000000,0.285714286,11278.857142857,4046.000000000,21021.000000000,700.000000000,731.000000000,177.000000000,177.000000000,177.000000000,29.000000000,206.000000000,29.000000000,177.000000000,24.000000000,0.000000000,24.000000000,7.000000000,2.000000000,2.000000000,0.285714286,11278.857142857
100,149,103,152,50,0.204886836,0.091198693,2.355408305,22,0.130127314,0.085346557,2.117457372,22,0.123396062,0.088026327,2.242954885,21,-0.074759522,-0.005852136,-0.081490774,-0.003172366,-0.006731252,0.002679770,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,3669.000000000,21436.000000000,1437.000000000,856.000000000,123.000000000,123.000000000,123.000000000,4.000000000,127.000000000,4.000000000,123.000000000,3.000000000,0.000000000,3.000000000,9.000000000,2.000000000,2.000000000,0.222222222,17849.000000000,3730.000000000,21886.000000000,1423.000000000,884.000000000,119.000000000,119.000000000,119.000000000,3.000000000,122.000000000,3.000000000,119.000000000,3.000000000,0.000000000,3.000000000,9.000000000,1.000000000,1.000000000,0.111111111,17731.444444444
150,199,153,202,50,0.511947420,0.110503813,5.112118217,39,0.339352754,0.107258599,4.343042684,40,0.320119990,0.120221580,4.197790986,40,-0.172594666,-0.003245214,-0.191827430,0.009717767,-0.019232764,0.012962981,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,1359.000000000,9325.000000000,644.000000000,269.000000000,85.000000000,85.000000000,85.000000000,16.000000000,101.000000000,16.000000000,85.000000000,6.000000000,1.000000000,5.000000000,11.000000000,1.000000000,1.000000000,0.090909091,17172.909090909,1308.000000000,9207.000000000,643.000000000,260.000000000,46.000000000,46.000000000,46.000000000,14.000000000,60.000000000,14.000000000,46.000000000,7.000000000,0.000000000,7.000000000,11.000000000,3.000000000,3.000000000,0.272727273,19456.636363636
200,249,203,252,50,0.256077134,0.045671567,5.226973778,19,0.169186332,0.038084021,4.753253662,15,0.151022156,0.037544676,4.644074668,18,-0.086890802,-0.007587546,-0.105054978,-0.008126891,-0.018164176,-0.000539345,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,1289.000000000,18148.000000000,749.000000000,404.000000000,41.000000000,41.000000000,41.000000000,3.000000000,44.000000000,3.000000000,41.000000000,1.000000000,0.000000000,1.000000000,9.000000000,1.000000000,1.000000000,0.111111111,26936.111111111,1282.000000000,18020.000000000,737.000000000,384.000000000,30.000000000,30.000000000,30.000000000,9.000000000,39.000000000,9.000000000,30.000000000,2.000000000,0.000000000,2.000000000,9.000000000,1.000000000,1.000000000,0.111111111,28157.444444444
250,299,253,302,50,0.073502384,0.052345490,8.898212373,24,0.061338918,0.048306673,8.185523747,19,0.060810994,0.048961984,7.823880729,20,-0.012163466,-0.004038817,-0.012691390,-0.003383506,-0.000527924,0.000655311,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,4322.000000000,27730.000000000,1365.000000000,416.000000000,142.000000000,142.000000000,142.000000000,3.000000000,145.000000000,3.000000000,142.000000000,0.000000000,0.000000000,0.000000000,11.000000000,0.000000000,0.000000000,0.000000000,29419.454545455,3996.000000000,25113.000000000,1351.000000000,404.000000000,68.000000000,68.000000000,68.000000000,0.000000000,68.000000000,0.000000000,68.000000000,0.000000000,0.000000000,0.000000000,10.000000000,0.000000000,0.000000000,0.000000000,29804.800000000
300,349,303,352,50,0.073139347,0.084060828,21.444521699,1,0.055573807,0.078015964,17.611161427,2,0.058347245,0.080498135,20.656671283,2,-0.017565540,-0.006044864,-0.014792102,-0.003562693,0.002773438,0.002482171,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,0.000000000,5995.000000000,0.000000000,0.000000000,6.000000000,6.000000000,6.000000000,0.000000000,6.000000000,0.000000000,6.000000000,0.000000000,0.000000000,0.000000000,2.000000000,0.000000000,0.000000000,0.000000000,34190.000000000,0.000000000,9752.000000000,0.000000000,0.000000000,6.000000000,6.000000000,6.000000000,0.000000000,6.000000000,0.000000000,6.000000000,0.000000000,0.000000000,0.000000000,3.000000000,0.000000000,0.000000000,0.000000000,34897.666666667
350,399,353,402,50,0.032526972,0.058622585,11.493541906,0,0.042830921,0.054994112,10.867488327,0,0.041265472,0.055694934,10.998027162,0,0.010303949,-0.003628473,0.008738500,-0.002927651,-0.001565449,0.000700822,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,73.000000000,12100.000000000,15.000000000,9.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,0.000000000,0.000000000,0.000000000,35378.250000000,45.000000000,9777.000000000,5.000000000,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.000000000,0.000000000,0.000000000,0.000000000,36034.666666667
400,449,403,452,50,0.029382386,0.048086843,10.818574270,14,0.036545640,0.045034384,9.388157331,13,0.034247363,0.044037849,10.698527057,14,0.007163254,-0.003052459,0.004864977,-0.004048994,-0.002298277,-0.000996535,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,1912.000000000,10506.000000000,661.000000000,269.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,8.000000000,0.000000000,0.000000000,0.000000000,31996.750000000,1766.000000000,10564.000000000,593.000000000,233.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,8.000000000,0.000000000,0.000000000,0.000000000,32986.875000000
450,499,453,502,50,0.044619407,0.059455804,11.102405506,5,0.043192551,0.054900358,10.720640263,1,0.043665955,0.055004159,10.176319201,2,-0.001426856,-0.004555446,-0.000953452,-0.004451645,0.000473404,0.000103801,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,1.000000000,7293.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,0.000000000,0.000000000,0.000000000,36146.000000000,1.000000000,7241.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,0.000000000,0.000000000,0.000000000,36395.500000000
500,549,503,552,50,0.058168998,0.047546487,8.504386316,8,0.057678272,0.048282191,7.733949694,7,0.054408395,0.048230403,7.527574891,7,-0.000490726,0.000735704,-0.003760603,0.000683916,-0.003269877,-0.000051788,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,183.000000000,11230.000000000,71.000000000,85.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.000000000,0.000000000,0.000000000,0.000000000,29360.000000000,185.000000000,11122.000000000,71.000000000,78.000000000,2.000000000,2.000000000,2.000000000,0.000000000,2.000000000,0.000000000,2.000000000,0.000000000,0.000000000,0.000000000,3.000000000,0.000000000,0.000000000,0.000000000,28626.000000000
550,599,553,602,50,0.098092892,0.075702427,4.487111652,31,0.094705257,0.065524803,6.565496041,24,0.087405888,0.063627650,6.455426058,24,-0.003387635,-0.010177624,-0.010687004,-0.012074777,-0.007299369,-0.001897153,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,2542.000000000,15133.000000000,1219.000000000,426.000000000,30.000000000,30.000000000,30.000000000,3.000000000,33.000000000,3.000000000,30.000000000,1.000000000,0.000000000,1.000000000,6.000000000,0.000000000,0.000000000,0.000000000,22365.000000000,2757.000000000,15264.000000000,1213.000000000,432.000000000,27.000000000,27.000000000,27.000000000,2.000000000,29.000000000,2.000000000,27.000000000,1.000000000,1.000000000,0.000000000,6.000000000,0.000000000,0.000000000,0.000000000,22262.833333333
600,649,603,652,50,0.082671365,0.053169221,15.280554424,6,0.098195587,0.044381982,13.284444462,10,0.089476798,0.044481337,12.257462233,7,0.015524222,-0.008787239,0.006805433,-0.008687884,-0.008718789,0.000099355,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,697.000000000,15658.000000000,403.000000000,190.000000000,22.000000000,22.000000000,22.000000000,0.000000000,22.000000000,0.000000000,22.000000000,0.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,0.000000000,38830.400000000,607.000000000,15067.000000000,393.000000000,227.000000000,7.000000000,7.000000000,7.000000000,0.000000000,7.000000000,0.000000000,7.000000000,0.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,0.000000000,39631.800000000
650,699,653,702,50,0.078456454,0.077111240,7.839492796,41,0.077278167,0.074690695,8.500356637,40,0.071554529,0.067292687,6.893516008,38,-0.001178287,-0.002420545,-0.006901925,-0.009818553,-0.005723638,-0.007398008,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,3494.000000000,23523.000000000,637.000000000,853.000000000,32.000000000,32.000000000,32.000000000,2.000000000,34.000000000,2.000000000,32.000000000,2.000000000,0.000000000,2.000000000,11.000000000,1.000000000,1.000000000,0.090909091,38252.272727273,3677.000000000,21703.000000000,691.000000000,842.000000000,26.000000000,26.000000000,26.000000000,0.000000000,26.000000000,0.000000000,26.000000000,0.000000000,0.000000000,0.000000000,10.000000000,0.000000000,0.000000000,0.000000000,39805.600000000
700,749,703,752,50,0.093010128,0.104173253,9.486373519,25,0.084326838,0.094715058,9.451951720,25,0.078451460,0.091172796,6.748742638,23,-0.008683290,-0.009458195,-0.014558668,-0.013000457,-0.005875378,-0.003542262,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,866.000000000,11443.000000000,149.000000000,203.000000000,8.000000000,8.000000000,8.000000000,4.000000000,12.000000000,4.000000000,8.000000000,0.000000000,0.000000000,0.000000000,7.000000000,0.000000000,0.000000000,0.000000000,40592.285714286,761.000000000,10639.000000000,167.000000000,190.000000000,4.000000000,4.000000000,4.000000000,0.000000000,4.000000000,0.000000000,4.000000000,0.000000000,0.000000000,0.000000000,7.000000000,0.000000000,0.000000000,0.000000000,41892.285714286
750,799,753,802,50,0.095644341,0.070896916,6.169078612,23,0.082474863,0.059508141,6.368594036,9,0.078765633,0.060454712,6.064835172,12,-0.013169478,-0.011388775,-0.016878708,-0.010442204,-0.003709230,0.000946571,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,5408.000000000,16259.000000000,676.000000000,527.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,11.000000000,0.000000000,0.000000000,0.000000000,43138.636363636,5218.000000000,16321.000000000,675.000000000,517.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,11.000000000,0.000000000,0.000000000,0.000000000,43119.181818182
800,849,803,852,50,0.394735626,0.175620393,4.263415182,42,0.344568122,0.176903938,4.258506492,42,0.335379444,0.173848349,4.679233445,42,-0.050167504,0.001283545,-0.059356182,-0.001772044,-0.009188678,-0.003055589,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,4277.000000000,25173.000000000,1355.000000000,930.000000000,94.000000000,94.000000000,94.000000000,5.000000000,99.000000000,5.000000000,94.000000000,3.000000000,1.000000000,2.000000000,11.000000000,1.000000000,1.000000000,0.090909091,43906.636363636,4701.000000000,26582.000000000,1370.000000000,967.000000000,89.000000000,89.000000000,89.000000000,6.000000000,95.000000000,6.000000000,89.000000000,4.000000000,0.000000000,4.000000000,11.000000000,4.000000000,4.000000000,0.363636364,45061.181818182
850,899,853,902,50,0.728070431,0.221618761,3.699910381,15,0.622732014,0.228615636,3.477226130,16,0.619154272,0.232158048,3.332050483,17,-0.105338417,0.006996875,-0.108916159,0.010539287,-0.003577742,0.003542412,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,26.000000000,9893.000000000,29.000000000,46.000000000,3.000000000,3.000000000,3.000000000,0.000000000,3.000000000,0.000000000,3.000000000,0.000000000,0.000000000,0.000000000,5.000000000,0.000000000,0.000000000,0.000000000,49013.400000000,96.000000000,10539.000000000,34.000000000,47.000000000,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,6.000000000,0.000000000,0.000000000,0.000000000,50021.833333333
900,905,903,908,6,0.756106564,0.227682556,7.925523694,4,0.638414195,0.226205796,6.517681231,2,0.638571955,0.231917667,8.142614725,2,-0.117692369,-0.001476760,-0.117534609,0.004235111,0.000157760,0.005711871,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,20.000000000,753.000000000,4.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,48770.000000000,20.000000000,753.000000000,0.000000000,6.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,47527.000000000
