segment,match_start,match_end,count,gt_path_m,gt_chord_m,wxyz_mainline_se3_rmse_m,wxyz_mainline_sim3_rmse_m,wxyz_mainline_global_sim3_scale,wxyz_mainline_est_path_m,wxyz_mainline_path_ratio,wxyz_mainline_est_chord_m,wxyz_mainline_chord_ratio,wxyz_v8_se3_rmse_m,wxyz_v8_sim3_rmse_m,wxyz_v8_global_sim3_scale,wxyz_v8_est_path_m,wxyz_v8_path_ratio,wxyz_v8_est_chord_m,wxyz_v8_chord_ratio,wxyz_v9_se3_rmse_m,wxyz_v9_sim3_rmse_m,wxyz_v9_global_sim3_scale,wxyz_v9_est_path_m,wxyz_v9_path_ratio,wxyz_v9_est_chord_m,wxyz_v9_chord_ratio
global,0,856,857,6.553921903,0.359520834,0.017360421,0.015996284,0.978028632,10.737256401,1.638294835,0.374033499,1.040366687,0.017354157,0.016108426,0.978950281,10.874599582,1.659250712,0.379617339,1.055898028,0.016974677,0.015438902,0.977044617,10.847593118,1.655130055,0.373244711,1.038172688
0-49,0,49,50,0.313546337,0.308596922,0.021592824,0.018724905,0.978028632,0.639569155,2.039791503,0.321837196,1.042904753,0.015379524,0.012514950,0.978950281,0.624349859,1.991252278,0.325578300,1.055027698,0.016964924,0.013207199,0.977044617,0.632618334,2.017623103,0.323614212,1.048663125
50-99,50,99,50,0.280225217,0.185362159,0.015051367,0.017621477,0.978028632,0.640638992,2.286157534,0.176700727,0.953272920,0.013984875,0.016995956,0.978950281,0.568875073,2.030063815,0.197549739,1.065750098,0.013065970,0.016046525,0.977044617,0.594774915,2.122488906,0.209386641,1.129608342
100-149,100,149,50,0.391826514,0.389512375,0.014629804,0.014350583,0.978028632,0.557904480,1.423855866,0.396352364,1.017560391,0.015991723,0.016631534,0.978950281,0.592650780,1.512533630,0.381037097,0.978241313,0.014190515,0.014113891,0.977044617,0.576752311,1.471958356,0.384851325,0.988033628
150-199,150,199,50,0.359435173,0.255126576,0.022393470,0.016727468,0.978028632,0.670321217,1.864929385,0.236162624,0.925668456,0.024016874,0.018852447,0.978950281,0.687909067,1.913861297,0.237178485,0.929650247,0.022708135,0.018489631,0.977044617,0.717752706,1.996890565,0.232494949,0.911292553
200-249,200,249,50,0.469187018,0.460945517,0.023755871,0.027328218,0.978028632,0.918289254,1.957192373,0.448781626,0.973610999,0.023768037,0.026942343,0.978950281,0.944887634,2.013882732,0.457663711,0.992880272,0.020542091,0.023486318,0.977044617,0.926620611,1.974949379,0.452576492,0.981843787
250-299,250,299,50,0.401361332,0.393368758,0.023558088,0.019531540,0.978028632,0.696862152,1.736246360,0.418493911,1.063871756,0.021364168,0.017693050,0.978950281,0.726094089,1.809078332,0.416732615,1.059394286,0.020645913,0.016581076,0.977044617,0.727355382,1.812220869,0.414979540,1.054937718
300-349,300,349,50,0.415444978,0.304142089,0.018644471,0.018730517,0.978028632,0.642157722,1.545710639,0.324330555,1.066378405,0.018139463,0.017419890,0.978950281,0.620962078,1.494691503,0.326788492,1.074459947,0.017938199,0.017581420,0.977044617,0.652879826,1.571519361,0.328398949,1.079755026
350-399,350,399,50,0.452791186,0.450044587,0.017521892,0.015190966,0.978028632,0.691614841,1.527447667,0.467718708,1.039271934,0.019960215,0.017539750,0.978950281,0.651097156,1.437963405,0.469287618,1.042758054,0.021373042,0.018623693,0.977044617,0.670455216,1.480716138,0.477603971,1.061237009
400-449,400,449,50,0.645271800,0.016650225,0.025043727,0.021532393,0.978028632,0.864610188,1.339916278,0.035522789,2.133471981,0.026372423,0.022748241,0.978950281,0.902700540,1.398946213,0.042032577,2.524444928,0.027537931,0.022899577,0.977044617,0.910601524,1.411190640,0.044873888,2.695091955
450-499,450,499,50,0.400507817,0.393829125,0.013159540,0.014694485,0.978028632,0.657374944,1.641353591,0.394148251,1.000810315,0.011612802,0.013084695,0.978950281,0.668624363,1.669441480,0.390761322,0.992210319,0.013964027,0.015435956,0.977044617,0.634169239,1.583412887,0.393278307,0.998601376
500-549,500,549,50,0.286726234,0.148654331,0.016990422,0.015971804,0.978028632,0.694294681,2.421455029,0.166611726,1.120799677,0.017484224,0.016620942,0.978950281,0.705155238,2.459332822,0.167548795,1.127103359,0.018677592,0.017681604,0.977044617,0.699511187,2.439648361,0.177550138,1.194382548
550-599,550,599,50,0.355904700,0.311484028,0.017202870,0.012477428,0.978028632,0.519863896,1.460682862,0.315410452,1.012605537,0.018773171,0.014105020,0.978950281,0.597890319,1.679916898,0.314774006,1.010562268,0.017133738,0.012663978,0.977044617,0.542250282,1.523582808,0.307003658,0.985616050
600-649,600,649,50,0.420311782,0.415622882,0.010288116,0.010567862,0.978028632,0.524904170,1.248844769,0.429497121,1.033381797,0.011343681,0.011870771,0.978950281,0.549544863,1.307469567,0.424189017,1.020610355,0.008412578,0.008726181,0.977044617,0.500492067,1.190763829,0.430478115,1.035742097
650-699,650,699,50,0.376970938,0.372945076,0.015607619,0.011848863,0.978028632,0.527892290,1.400352752,0.382399271,1.025350099,0.015685335,0.012235570,0.978950281,0.525591671,1.394249843,0.382402290,1.025358193,0.014843824,0.011156791,0.977044617,0.521753570,1.384068419,0.377923330,1.013348491
700-749,700,749,50,0.312904613,0.247949874,0.012714497,0.009313310,0.978028632,0.499171012,1.595281730,0.260069439,1.048879093,0.013129391,0.010422152,0.978950281,0.496798899,1.587700783,0.257638464,1.039074793,0.011576910,0.009074340,0.977044617,0.514953740,1.645721154,0.258603262,1.042965894
750-799,750,799,50,0.412079918,0.404515488,0.006851509,0.006509958,0.978028632,0.498731772,1.210279243,0.410453194,1.014678563,0.007760658,0.006810083,0.978950281,0.512036890,1.242566956,0.408791791,1.010571419,0.008163201,0.006742079,0.977044617,0.494694257,1.200481350,0.413327283,1.021783579
800-849,800,849,50,0.115331299,0.094367950,0.006116940,0.007332025,0.978028632,0.271810545,2.356780395,0.096683580,1.024538314,0.006336189,0.009746365,0.978950281,0.271453168,2.353681697,0.096359379,1.021102806,0.005972841,0.007114181,0.977044617,0.276099554,2.393968989,0.100695162,1.067048316
850-856,850,856,7,0.006836958,0.006533758,0.004658622,0.005139757,0.978028632,0.014258326,2.085477975,0.006235217,0.954307873,0.009483909,0.010508135,0.978950281,0.031125501,4.552536293,0.010939746,1.674341917,0.009688378,0.010454781,0.977044617,0.029104066,4.256873358,0.012453564,1.906033782
